Date,Revenue,Marketing Spend (Google),Marketing Spend (LinkedIn),Marketing Spend (Campus),Marketing Spend (Events),Operational Costs,Number of Enrollments,Retention Rates,Seasonal Trends,Conversions (Google),Conversions (LinkedIn),Conversions (Campus),Conversions (Events),Leads Generated (Google),Leads Generated (LinkedIn),Leads Generated (Campus),Leads Generated (Events),Customer Acquisition Cost (Google),Customer Acquisition Cost (LinkedIn),Customer Acquisition Cost (Campus),Customer Acquisition Cost (Events),Payment Terms,Fixed Costs,Variable Costs,Liabilities
2019-01-13,33941.7,4625.75,3030.92,2947.37,2446.41,7639.05,50,0.85,Medium,9,8,2,6,8,20,11,11,127.21,137.82,75.06,209.17,30 days,4177.9,1933.84,2584.46
2019-01-14,21059.29,1556.98,1418.99,1754.67,1241.59,4663.28,56,0.7,Medium,10,9,4,2,26,13,10,10,86.92,73.89,237.92,98.28,60 days,3134.55,2251.72,2181.51
2019-01-15,29699.46,3129.68,2852.81,1637.39,2563.51,5516.05,60,0.78,High,3,3,5,6,16,17,11,17,133.24,167.53,187.19,76.27,60 days,4195.47,2041.77,4106.05
2019-01-16,24336.83,2644.38,1631.45,2383.69,2839.5,3070.4,44,0.72,High,9,8,7,7,23,17,8,13,180.66,154.47,83.31,88.46,90 days,4122.29,1844.48,4132.16
2019-01-17,25259.87,2389.37,3635.48,831.18,1972.32,3034.79,51,0.83,Low,14,9,5,4,20,21,7,10,54.64,61.9,230.09,182.13,60 days,4979.79,2043.75,4976.95
2019-01-18,35202.21,4599.33,3666.21,1867.29,2391.41,4200.63,53,0.9,Medium,8,6,4,9,27,13,12,12,186.69,162.79,145.76,87.65,60 days,3096.86,2640.59,4993.51
2019-01-19,20276.85,1087.29,1751.32,1865.62,1923.35,3504.04,58,0.75,Low,16,9,9,5,21,9,9,17,83.98,81.18,113.13,65.62,30 days,4048.52,2814.74,1387.11
2019-01-20,26850.73,3655.16,1535.98,723.68,3192.86,4301.06,55,0.83,Medium,10,7,6,7,16,12,6,12,96.58,192.13,78.28,192.99,90 days,4079.59,2277.24,2856.57
2019-01-21,30654.79,4853.58,2116.17,1544.96,2043.82,3885.22,48,0.75,High,7,8,12,5,23,19,11,11,104.61,167.77,204.07,173.16,90 days,4815.78,2723.48,3992.95
2019-01-22,29001.53,3240.67,1569.7,2633.21,3041.25,3142.6,57,0.73,Low,12,8,3,4,19,13,10,13,187.06,68.27,244.48,209.9,60 days,3496.56,1008.9,3684.02
2019-01-23,34181.01,4747.29,2951.63,2640.38,2923.92,7546.52,45,0.83,Medium,11,9,4,8,23,16,9,14,76.4,145.09,103.36,160.32,90 days,3994.49,2881.25,2940.77
2019-01-24,21602.23,1209.03,3443.41,748.09,1790.46,3041.12,53,0.72,Medium,9,9,6,4,20,12,9,12,83.45,188.86,145.04,72.52,30 days,4264.2,1016.09,1397.53
2019-01-25,24260.84,2675.17,2953.89,726.8,1267.25,6680.41,55,0.85,High,10,8,6,5,21,13,8,16,159.67,192.8,112.75,68.56,60 days,4968.33,2870.04,2875.06
2019-01-26,24436.25,2040.63,3437.92,1156.74,1777.64,3760.74,57,0.71,High,4,8,4,8,29,23,17,13,190.2,73.66,173.04,194.58,60 days,3377.39,1359.35,4825.25
2019-01-27,29718.2,3923.28,2070.37,2686.92,2996.03,7561.15,40,0.73,Medium,10,8,2,10,22,10,11,11,65.71,72.62,226.83,211.84,30 days,2769.76,1186.44,2752.25
2019-01-28,28853.08,4925.19,1300.21,822.26,1260.13,7463.98,66,0.84,High,14,7,5,9,16,17,12,12,128.34,184.0,93.53,197.05,30 days,3816.44,2770.72,1113.8
2019-01-29,26587.29,2026.12,3161.44,2299.99,2120.87,6269.51,52,0.85,High,13,9,8,7,26,12,12,28,187.17,97.22,123.68,126.72,30 days,3302.13,1033.24,2604.43
2019-01-30,27823.15,3616.7,1953.52,752.91,2937.68,6361.17,63,0.71,Low,11,6,6,8,18,12,9,11,182.91,155.04,99.64,174.24,30 days,2294.34,2654.49,2871.56
2019-01-31,26072.44,1792.39,2948.07,2057.84,1625.08,3026.7,59,0.84,Medium,7,6,2,2,18,12,13,18,192.27,157.42,111.16,77.84,60 days,3338.81,1405.17,3956.61
2019-02-01,25783.45,3261.32,1666.06,1390.17,2462.41,7924.36,49,0.91,Low,7,6,4,9,21,20,5,13,185.32,160.77,93.39,183.51,90 days,4083.4,1798.77,1912.1
2019-02-02,23973.75,2855.73,1059.93,2472.28,1312.33,7389.16,48,0.88,High,14,7,4,7,20,13,13,9,97.21,114.06,184.23,106.18,30 days,3377.28,1016.59,3326.66
2019-02-03,29000.21,4888.02,3976.26,1084.23,916.91,7475.53,43,0.73,Medium,13,8,4,8,19,12,14,12,81.2,66.38,77.83,219.16,90 days,3714.44,2943.05,1693.8
2019-02-04,26178.8,3434.11,1299.84,2098.0,2903.71,6296.22,52,0.85,High,11,10,2,5,25,20,7,16,185.22,146.0,201.22,120.72,90 days,4129.1,1885.58,3464.02
2019-02-05,21750.42,2398.03,3962.95,1089.21,887.01,4723.93,34,0.87,High,11,9,5,7,29,22,19,17,156.79,142.4,95.58,120.98,30 days,3523.43,1867.11,3087.88
2019-02-06,24277.71,1456.38,3927.3,2284.15,1387.01,7468.24,37,0.71,Medium,7,8,8,8,19,15,11,11,106.78,129.3,118.0,112.24,90 days,2290.09,1046.39,4437.86
2019-02-07,31876.44,1604.99,3340.22,2684.2,3079.82,4457.58,53,0.91,High,12,8,4,5,20,19,11,13,156.94,104.73,132.15,169.53,90 days,4076.46,1372.09,2849.06
2019-02-08,22035.23,1901.27,2910.15,817.0,1604.76,5813.56,52,0.93,Low,13,3,7,6,19,15,10,18,96.08,194.89,138.59,80.98,90 days,2582.55,1390.29,2142.11
2019-02-09,28943.13,2003.87,2648.98,2666.49,3421.83,3498.65,45,0.91,Medium,8,9,2,6,15,19,12,14,137.2,119.22,101.13,73.83,90 days,4147.79,1021.9,3124.09
2019-02-10,32978.71,4402.46,3571.52,1983.94,3441.23,7609.78,41,0.91,High,14,11,3,5,25,17,4,10,85.0,80.29,157.99,179.86,60 days,2920.38,1340.67,3237.9
2019-02-11,22540.02,3244.89,1726.21,817.78,1378.0,3703.85,52,0.89,High,8,12,3,6,22,12,8,11,134.26,181.3,231.06,221.03,60 days,3610.7,2879.57,1368.92
2019-02-12,24897.24,3093.56,2296.58,1568.85,718.84,4124.48,55,0.86,High,16,5,5,5,21,22,14,13,188.47,161.8,152.57,187.71,30 days,2193.13,2165.51,3281.07
2019-02-13,21943.77,1459.08,2782.05,902.15,2644.68,5790.67,48,0.87,Medium,11,8,4,5,33,16,10,8,165.72,109.46,75.01,106.23,90 days,2857.66,1035.37,3776.87
2019-02-14,28364.37,4440.56,2115.81,2250.87,1907.86,6820.47,46,0.9,Low,10,11,6,7,18,14,13,11,148.41,84.18,135.41,124.76,60 days,4774.03,1430.45,4538.15
2019-02-15,27842.97,3891.26,2167.96,2397.17,892.18,6096.76,56,0.87,High,13,12,6,10,24,10,11,12,86.9,130.35,142.57,98.56,30 days,3575.21,1828.22,1854.3
2019-02-16,20212.91,1270.67,1856.91,764.49,2651.82,4160.67,48,0.78,High,14,0,4,3,9,11,9,14,59.51,70.55,121.0,177.88,90 days,4723.18,1343.18,2825.18
2019-02-17,26628.14,3831.34,2605.54,1765.35,690.41,3004.72,40,0.79,High,13,7,3,5,22,20,11,10,156.59,95.64,123.28,104.16,90 days,4819.46,1314.3,1233.56
2019-02-18,29444.24,3174.15,3521.84,2536.56,3123.57,6785.75,45,0.92,Medium,9,12,2,5,13,15,13,9,136.41,214.23,105.81,159.26,60 days,2830.98,2917.25,1656.5
2019-02-19,20311.87,1326.9,1444.89,2840.41,1002.09,7926.04,49,0.7,High,11,5,5,4,26,18,12,9,81.89,84.08,242.2,203.51,30 days,4717.76,2985.22,4700.91
2019-02-20,27490.52,2833.2,3790.19,1783.79,969.2,7049.57,56,0.87,High,4,7,5,10,15,9,4,10,190.21,104.0,165.3,150.21,90 days,3972.59,2246.9,4753.73
2019-02-21,26337.23,2938.79,3005.08,2875.7,1109.45,5301.03,47,0.94,High,11,6,3,7,27,21,3,7,132.8,82.24,166.62,162.93,60 days,3632.39,2733.46,1165.29
2019-02-22,28498.79,1663.1,3434.47,1839.22,3384.77,7518.84,46,0.88,Medium,10,8,2,9,16,15,3,8,135.78,205.92,146.61,224.74,60 days,3215.73,1870.51,3137.36
2019-02-23,33270.04,4782.79,2579.81,1485.48,2610.19,5049.24,54,0.95,Low,9,12,3,10,20,21,13,7,94.81,207.97,181.05,117.67,30 days,2756.73,1011.96,1550.11
2019-02-24,36517.26,4399.9,3294.45,2620.51,2923.98,5624.67,52,0.87,Medium,13,9,4,2,20,18,11,8,181.91,69.52,146.19,196.57,60 days,3197.62,2166.99,3818.19
2019-02-25,21554.71,3676.09,851.84,1732.46,1753.14,5385.65,45,0.71,Low,8,12,8,5,22,12,16,14,183.71,203.72,194.01,178.32,30 days,3961.21,1332.15,3493.26
2019-02-26,23163.23,2849.18,3418.82,1679.76,1575.31,5238.12,40,0.91,Low,14,8,5,5,30,11,7,13,157.27,82.77,85.88,83.67,30 days,3088.79,2152.6,3066.24
2019-02-27,22493.08,2647.06,928.44,1725.78,1280.0,6875.95,56,0.77,Medium,11,8,7,7,20,9,11,10,64.89,123.57,75.34,228.31,30 days,3057.37,2783.79,3078.87
2019-02-28,31631.44,3603.89,3647.72,2616.96,1993.88,5633.84,54,0.81,High,15,14,2,5,28,11,7,7,62.66,153.81,171.24,178.78,30 days,3632.57,2499.68,3463.89
2019-03-01,32411.41,3181.73,3974.28,2579.85,2200.3,4583.59,49,0.78,Low,9,9,7,5,18,12,7,11,120.41,133.99,202.14,67.3,90 days,2135.83,1516.99,2761.37
2019-03-02,16723.96,1249.09,1741.02,1508.8,2432.15,4290.79,27,0.77,High,8,8,4,1,25,10,9,13,71.32,81.75,190.42,184.19,90 days,3835.58,2619.0,3927.64
2019-03-03,20836.25,3050.01,1473.02,1333.25,1345.64,3188.74,41,0.81,Low,12,5,3,3,22,11,15,11,99.79,186.65,141.76,87.09,60 days,2877.59,2422.74,3848.92
2019-03-04,30489.8,4225.61,3249.16,1729.82,3351.1,5915.98,48,0.79,High,14,1,5,8,26,6,18,26,75.7,169.99,70.58,113.4,60 days,3476.19,2870.44,2351.29
2019-03-05,21349.49,2836.96,1609.68,1931.93,1092.3,4149.81,41,0.86,High,14,6,4,4,36,11,9,16,96.52,210.59,91.75,122.48,30 days,4487.66,2242.16,3881.39
2019-03-06,25165.51,1207.83,3569.8,1095.84,3400.39,3740.67,52,0.9,Medium,11,7,7,6,16,11,9,17,191.44,116.47,140.57,116.11,90 days,4377.11,2961.64,2371.67
2019-03-07,24331.07,4145.11,1129.1,2484.89,643.08,6269.15,48,0.77,High,11,8,7,6,16,15,12,15,163.0,128.86,189.58,187.83,60 days,2875.1,2055.5,3352.69
2019-03-08,20487.73,1805.46,1203.06,1716.21,1995.26,6406.05,47,0.75,Low,9,5,6,7,33,14,13,12,70.75,115.96,126.17,189.29,30 days,2150.91,2050.28,1846.14
2019-03-09,25869.53,2034.48,3933.28,1335.11,1566.77,6760.77,51,0.87,High,10,8,6,3,25,12,10,18,150.34,70.08,165.69,152.2,60 days,3135.19,1037.93,2262.87
2019-03-10,22935.45,1658.83,2956.28,767.05,1902.46,5517.88,47,0.87,High,8,5,3,6,20,14,5,11,54.58,68.8,101.59,158.56,90 days,2351.9,2873.0,1873.62
2019-03-11,27493.07,2320.86,3510.04,1097.11,2254.93,7470.27,59,0.93,High,9,6,9,2,19,14,12,16,197.54,181.81,100.52,116.75,30 days,3296.47,1861.91,4955.98
2019-03-12,27078.02,4027.01,1837.85,2873.2,1863.21,7681.71,51,0.7,Low,11,14,4,5,26,20,13,18,129.75,105.58,203.7,68.83,60 days,4483.79,2736.59,3446.31
2019-03-13,26192.43,3077.54,2964.75,1262.75,1803.06,7036.85,47,0.91,Low,9,5,7,10,26,12,3,16,125.81,137.94,148.91,123.03,90 days,2971.64,1771.54,3697.68
2019-03-14,23489.3,1819.53,2701.57,922.15,2724.9,6177.97,53,0.83,Low,7,4,6,3,25,12,6,16,86.05,216.64,240.83,66.55,90 days,4437.72,2854.72,3550.54
2019-03-15,30700.84,4511.32,2730.08,1651.68,2589.04,4518.6,50,0.86,High,6,12,1,2,15,15,15,12,118.68,62.83,108.03,207.69,90 days,4907.04,2898.45,1114.26
2019-03-16,33465.64,4518.33,2984.1,1267.72,3016.49,7914.72,45,0.72,Medium,11,6,0,8,17,20,7,10,128.94,142.82,150.6,170.73,90 days,4033.93,1041.91,3873.99
2019-03-17,26732.65,4482.31,2641.15,587.9,1324.88,4370.68,51,0.81,Low,7,8,5,8,23,17,7,21,148.73,142.92,103.89,226.58,30 days,4549.39,2418.1,4115.93
2019-03-18,19144.2,1955.18,2173.0,1307.86,2367.63,4013.28,37,0.76,High,13,7,7,7,23,14,9,17,56.89,219.77,116.07,95.18,90 days,4528.16,1064.2,2362.34
2019-03-19,25103.02,2804.96,1682.95,1860.27,2297.06,5210.77,54,0.76,Low,13,3,6,3,18,16,10,14,101.33,193.49,185.21,173.54,30 days,2059.51,1196.82,3346.24
2019-03-20,32503.91,4939.96,3259.46,1879.28,1672.24,3284.2,50,0.83,Medium,13,9,5,5,25,10,7,7,108.05,70.69,233.73,96.01,90 days,3986.56,1080.92,1110.38
2019-03-21,26707.64,4088.05,1524.07,1391.4,2009.57,7892.47,52,0.9,High,9,7,1,10,15,12,9,14,72.37,85.14,93.12,170.43,90 days,4312.72,1060.64,1849.51
2019-03-22,23617.03,1108.67,3015.53,1618.26,1509.97,5942.17,64,0.89,Low,14,7,5,7,19,16,12,21,85.97,65.43,93.33,146.14,90 days,3332.57,1822.76,1768.63
2019-03-23,19763.44,1260.82,1546.67,2913.79,1011.35,5784.76,46,0.85,Low,9,7,8,6,13,12,6,11,85.5,91.49,241.44,174.67,90 days,4537.55,1904.38,2024.98
2019-03-24,24800.7,2855.73,2801.06,1443.37,1220.02,6278.98,57,0.83,Medium,17,8,9,2,21,16,11,10,171.56,93.97,202.53,184.68,60 days,3992.23,1937.77,2527.7
2019-03-25,27825.2,4636.88,3190.65,1145.57,905.99,5485.12,45,0.81,Low,8,9,3,3,28,7,13,17,153.08,74.38,126.31,151.27,90 days,4054.53,1311.45,1873.52
2019-03-26,25325.89,3154.81,1499.88,1108.67,2580.9,3160.32,46,0.94,High,8,8,3,9,19,13,9,13,188.41,144.36,143.25,146.47,30 days,3223.57,1535.8,1914.63
2019-03-27,22804.28,2991.25,991.82,1644.41,2516.11,6061.56,41,0.84,High,10,13,3,3,26,18,8,7,96.48,216.0,212.0,76.5,90 days,4651.35,2507.09,4825.08
2019-03-28,21310.82,1421.89,1219.12,2398.8,3356.76,6580.87,37,0.76,Medium,9,9,3,6,16,11,8,11,182.25,188.61,195.79,125.02,60 days,3136.77,1699.75,2012.62
2019-03-29,27606.68,3627.12,2739.19,1014.97,2716.07,5083.75,61,0.76,Medium,6,11,7,9,18,10,10,12,179.57,92.54,179.71,114.82,30 days,2439.85,1521.07,3267.45
2019-03-30,31156.52,4288.41,3518.23,2273.24,750.93,6786.48,47,0.85,Medium,16,10,5,6,23,9,8,11,117.19,185.28,225.65,168.22,30 days,2942.69,1676.16,3568.87
2019-03-31,21724.65,2521.68,943.99,552.87,3164.31,4135.01,52,0.83,High,5,6,5,2,17,15,8,11,144.46,217.16,126.23,110.54,60 days,3204.06,2789.61,2241.52
2019-04-01,33204.41,4102.45,3149.28,1547.33,3101.76,4106.38,53,0.7,Medium,13,4,3,4,23,13,7,16,139.69,193.64,108.03,103.34,90 days,4257.64,2782.23,1273.75
2019-04-02,33374.94,4857.91,1892.22,2439.66,1885.63,3807.08,50,0.91,Low,9,8,7,7,23,15,10,12,96.17,134.99,143.76,205.03,90 days,2261.11,1875.67,2894.5
2019-04-03,21660.41,1815.07,2331.29,1346.83,2299.0,4859.97,39,0.88,Low,8,10,7,2,21,13,14,12,89.31,103.09,71.34,201.69,30 days,3975.34,2716.47,4956.52
2019-04-04,28497.34,3093.32,3772.35,1909.34,3430.63,7235.06,37,0.87,High,11,4,2,6,13,19,16,16,75.34,179.66,161.31,119.21,30 days,3536.6,1734.1,2141.92
2019-04-05,22825.48,2148.55,1862.31,1012.45,2143.68,7139.56,43,0.72,Low,8,11,6,3,29,15,9,12,175.65,185.83,135.74,79.14,30 days,2949.3,1156.34,1017.82
2019-04-06,32695.13,4171.42,2289.08,2354.99,3225.43,4914.12,56,0.79,Medium,11,11,5,6,25,15,18,10,130.03,107.49,93.75,147.1,30 days,3184.81,1907.14,4187.13
2019-04-07,17901.16,3310.37,843.78,630.7,840.81,5945.59,46,0.93,Low,15,6,2,5,24,25,10,11,100.75,95.87,227.59,139.46,60 days,4094.9,2810.1,2005.67
2019-04-08,25554.86,3538.33,1061.12,2631.36,1154.05,6604.08,51,0.92,Medium,15,5,5,3,18,16,6,12,126.5,167.54,104.99,208.52,30 days,3803.89,1136.93,4402.32
2019-04-09,25914.91,4191.66,1627.49,995.49,1878.19,4206.03,40,0.77,Low,8,12,1,5,25,11,15,11,62.09,202.15,197.07,155.24,30 days,2214.15,1496.6,2021.92
2019-04-10,24392.29,2583.88,889.13,2686.0,2295.79,3840.71,49,0.74,High,8,8,4,4,26,17,10,10,65.9,63.31,197.03,220.56,30 days,2297.84,1100.53,4486.05
2019-04-11,30549.95,4660.36,2820.4,1381.32,2967.06,7860.48,39,0.81,Medium,5,10,7,7,20,17,9,14,163.9,217.93,77.67,144.75,90 days,4109.22,2519.55,4655.7
2019-04-12,29895.96,3132.12,2164.47,2306.71,3465.96,6087.79,39,0.79,Low,12,6,5,6,23,11,8,13,185.19,90.7,146.98,175.1,60 days,4639.25,2622.34,3322.98
2019-04-13,18396.75,1631.82,2554.06,1298.06,1727.67,7907.08,30,0.87,High,9,6,5,9,18,16,11,12,98.04,115.91,155.75,144.15,90 days,2482.99,2786.05,4335.51
2019-04-14,27838.95,3783.6,1358.87,2764.78,737.51,4688.78,54,0.94,Low,15,10,2,9,25,12,9,11,111.38,68.47,217.15,117.98,90 days,3785.76,1161.8,4467.84
2019-04-15,29964.23,4173.05,1746.98,816.59,2923.4,6515.16,56,0.79,High,12,5,5,6,23,20,12,11,106.06,68.89,182.4,69.53,60 days,2618.1,2305.26,2398.14
2019-04-16,24200.52,2267.05,2924.24,946.3,2352.7,4113.02,57,0.72,Low,7,9,6,8,14,11,13,12,121.86,103.64,81.4,195.9,90 days,4953.47,2054.11,3633.96
2019-04-17,30466.16,4428.72,3888.97,1732.58,1175.77,4306.0,46,0.92,Medium,11,10,3,8,20,13,10,11,112.1,150.4,150.78,214.02,30 days,3884.62,1517.31,3418.43
2019-04-18,24009.09,4624.57,961.33,704.85,2035.0,5559.51,51,0.71,Medium,11,13,6,7,29,6,7,12,107.94,204.17,124.15,186.04,30 days,4450.15,2356.47,2714.04
2019-04-19,27156.8,2107.62,3649.23,989.95,2752.7,4598.09,56,0.94,Medium,15,4,4,2,14,9,8,14,148.99,71.18,100.77,109.94,30 days,2869.24,1034.19,4027.11
2019-04-20,35453.83,4934.09,2646.02,2859.42,2834.19,3838.11,56,0.87,Medium,9,6,5,6,23,16,7,18,90.82,147.34,119.69,199.8,60 days,3015.12,1251.45,2886.56
2019-04-21,21182.91,1562.85,2604.54,2941.22,2048.89,4314.4,32,0.94,Medium,11,9,4,4,20,16,12,15,191.4,126.58,221.24,166.12,30 days,2437.17,2825.87,2068.96
2019-04-22,22285.71,1808.06,2400.89,1440.65,1485.12,3178.74,52,0.75,Low,16,9,9,7,23,11,9,11,96.27,218.28,181.6,177.69,30 days,4038.71,2277.37,2109.38
2019-04-23,26069.45,1736.9,1022.06,2808.22,3423.85,6522.12,62,0.71,Low,10,9,11,5,19,17,10,8,82.19,89.94,148.38,75.93,90 days,4944.54,1216.09,1002.37
2019-04-24,31371.74,4575.96,1087.61,1862.06,2523.75,5460.58,63,0.82,Low,4,6,5,6,13,9,9,10,195.79,119.12,199.69,161.0,30 days,3471.38,2313.91,1301.48
2019-04-25,25790.02,3617.17,2722.92,1174.36,1783.89,3471.22,46,0.81,Low,15,5,4,8,20,14,16,10,84.32,65.35,244.28,157.59,60 days,2289.32,1513.25,1564.89
2019-04-26,21315.44,1608.42,1891.07,2256.0,1413.34,3858.47,55,0.78,Medium,10,10,5,3,21,14,8,10,130.5,206.28,236.89,174.18,90 days,2039.81,1673.95,3835.21
2019-04-27,29778.51,2761.29,3735.26,2147.25,2720.2,3512.67,54,0.94,High,11,11,4,9,20,17,8,17,99.34,159.59,87.43,192.32,60 days,4125.38,1218.46,1467.75
2019-04-28,26416.61,3461.19,2101.09,2972.81,1302.33,6062.96,43,0.91,Medium,8,9,6,13,20,10,7,9,61.62,154.05,129.81,131.76,60 days,2537.62,2454.38,1878.9
2019-04-29,17515.89,1333.86,1258.5,1162.62,1097.96,3471.05,45,0.87,Low,6,10,4,6,16,20,17,15,192.94,67.8,126.36,90.57,90 days,4802.94,1578.41,2903.25
2019-04-30,32987.24,4529.67,3087.1,2180.15,2136.52,6771.41,56,0.74,Medium,7,5,5,10,13,12,9,15,106.14,75.84,169.69,217.44,60 days,4202.36,1310.72,2340.65
2019-05-01,23188.66,4214.41,1738.73,630.06,1440.96,3102.55,38,0.88,Medium,8,8,5,10,25,9,9,11,146.72,186.44,86.27,193.13,30 days,2560.88,2955.04,4127.02
2019-05-02,25881.0,3020.83,2481.5,784.12,2423.82,4246.88,48,0.88,Medium,7,6,3,11,20,9,10,12,179.34,147.92,235.91,154.16,60 days,4707.2,1338.19,1405.84
2019-05-03,26491.73,4868.51,3033.06,509.8,942.02,7453.33,45,0.81,High,5,9,2,10,14,16,8,9,132.95,91.84,210.86,123.5,90 days,2664.19,2248.32,4926.98
2019-05-04,29087.89,2671.04,3680.85,2998.65,2499.33,6592.66,50,0.93,Medium,11,11,7,5,21,9,13,11,156.93,147.97,92.1,227.36,90 days,4866.1,1258.62,4300.49
2019-05-05,31575.15,4936.44,3335.01,2505.68,1421.56,3364.84,39,0.74,Medium,11,5,6,4,13,9,10,13,167.69,214.9,115.77,80.42,30 days,2861.62,2914.05,2991.15
2019-05-06,29538.01,3671.68,2964.36,2466.81,600.7,7105.63,65,0.77,High,6,11,4,3,16,15,14,7,107.23,76.59,95.75,219.21,30 days,2375.56,1916.16,1507.48
2019-05-07,25698.94,3538.69,2974.83,1774.32,968.11,5465.18,47,0.72,Medium,9,11,4,5,19,19,9,13,144.32,215.23,155.98,131.68,60 days,3713.2,2211.95,1385.49
2019-05-08,28798.62,1663.82,3826.96,1250.17,3307.48,7233.92,61,0.9,Medium,10,8,4,5,20,16,10,8,80.89,184.01,230.22,80.98,90 days,3786.05,1110.9,1635.55
2019-05-09,28760.59,4527.71,1746.64,878.16,3115.33,6003.7,50,0.86,Medium,9,5,3,9,26,14,8,11,58.3,83.08,186.03,127.56,90 days,3885.15,2891.07,1719.55
2019-05-10,17541.28,2709.96,803.56,1211.69,1277.47,6409.17,42,0.78,Medium,22,10,5,5,26,17,9,16,198.01,190.35,178.99,188.69,30 days,2814.33,2326.73,4017.24
2019-05-11,23668.38,1648.93,1670.25,1439.93,2857.28,7967.51,52,0.74,Medium,10,6,5,5,27,19,5,8,63.89,179.04,83.41,135.09,60 days,3113.9,1282.66,4889.77
2019-05-12,19999.81,1050.43,1497.25,2390.78,2364.86,4161.68,47,0.71,Low,9,7,0,7,19,10,10,8,114.31,151.83,233.13,146.35,30 days,4974.87,2052.68,4022.92
2019-05-13,30570.89,3239.02,2917.87,1849.15,3415.62,6119.73,54,0.74,Medium,7,5,6,8,22,16,11,8,60.11,183.9,120.54,200.87,30 days,3198.09,2667.92,4072.93
2019-05-14,24996.06,3109.6,2827.88,693.71,1683.46,5301.61,48,0.81,High,9,7,5,6,19,10,21,18,188.4,82.6,232.02,166.56,30 days,2305.96,2497.96,4787.34
2019-05-15,28016.37,3877.41,2699.08,545.07,2576.24,3197.26,49,0.76,Medium,11,10,9,8,18,9,10,10,66.38,175.46,151.72,175.23,90 days,3278.72,2832.78,1392.04
2019-05-16,21548.85,4561.03,851.98,755.83,784.25,3072.35,41,0.76,Low,7,12,4,6,19,14,6,9,167.98,162.55,165.18,90.41,90 days,2571.67,2897.37,1397.21
2019-05-17,20219.21,1317.63,3132.09,1526.25,1749.12,3596.14,43,0.92,High,14,8,8,3,24,15,8,15,157.36,105.55,178.9,106.66,90 days,2445.88,1065.05,4583.67
2019-05-18,31968.21,3925.99,1835.3,2832.98,3395.07,6245.46,56,0.83,High,14,6,7,4,28,24,17,14,56.76,170.46,121.93,132.86,90 days,3147.4,2278.36,3205.43
2019-05-19,26128.13,1749.65,2928.18,2093.51,2163.04,5835.82,62,0.88,Medium,14,10,4,6,22,17,11,13,158.19,168.62,220.4,83.12,60 days,3031.59,1113.53,1992.45
